,instance,hidden_dim,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap,min_leaf
0,CTG_width,40,8,0.01,37,0.3509803921568627,0.43529411764705883,0.3157894736842105,13886.448812246323,1.0,2.0
0,CTG_width,40,8,0.01,42,0.37058823529411766,0.34705882352941175,0.34502923976608185,13886.648163795471,1.0,2.0
0,CTG_width,40,8,0.01,53,0.37058823529411766,0.3352941176470588,0.3567251461988304,13890.246551990509,1.0,2.0
0,CTG_width,40,8,0.1,37,0.8607843137254902,0.8529411764705882,0.8538011695906432,13886.629112958908,0.8323970037453183,2.0
0,CTG_width,40,8,0.1,42,0.8411764705882353,0.8352941176470589,0.7777777777777778,13885.599924087524,0.8409090909090909,2.0
0,CTG_width,40,8,0.1,53,0.7,0.6529411764705882,0.5730994152046783,13886.378736019135,0.9009433962264151,2.0
0,CTG_width,60,4,0.001,37,0.8960784313725491,0.7941176470588235,0.847953216374269,13803.925371408463,0.9925646664662343,2.0
0,CTG_width,60,4,0.001,42,0.9,0.9,0.8713450292397661,13803.980139493942,0.9932049830124575,2.0
0,CTG_width,60,4,0.001,53,0.8764705882352941,0.7529411764705882,0.8421052631578947,13805.315653324127,0.994157740993184,2.0
0,CTG_width,60,4,0.01,37,0.8686274509803922,0.788235294117647,0.7660818713450293,13804.1215634346,0.9487244253599393,2.0
0,CTG_width,60,4,0.01,42,0.8862745098039215,0.8352941176470589,0.7777777777777778,13803.93951511383,0.9557739557739557,2.0
0,CTG_width,60,4,0.01,53,0.9235294117647059,0.8235294117647058,0.8654970760233918,13803.876551389694,0.9367787081159012,2.0
0,CTG_width,60,4,0.1,37,0.8137254901960784,0.7470588235294118,0.7660818713450293,13825.348462581635,0.7005899705014749,2.0
0,CTG_width,60,4,0.1,42,0.807843137254902,0.788235294117647,0.8304093567251462,13805.327785491943,0.7313432835820897,2.0
0,CTG_width,60,4,0.1,53,0.8098039215686275,0.7235294117647059,0.8070175438596491,13803.861013889313,0.7540663630448926,2.0
0,CTG_width,60,6,0.001,37,0.7607843137254902,0.6941176470588235,0.6783625730994152,13821.48993730545,0.9983131779281796,2.0
0,CTG_width,60,6,0.001,42,0.7137254901960784,0.7294117647058823,0.6666666666666666,13820.774914979935,0.9986451700311612,2.0
0,CTG_width,60,6,0.001,53,0.4627450980392157,0.4,0.42105263157894735,13821.508183479309,0.9993057530349381,2.0
0,CTG_width,60,6,0.01,37,0.7686274509803922,0.7529411764705882,0.7719298245614035,13822.659494638443,0.9844062067905976,2.0
0,CTG_width,60,6,0.01,42,0.8137254901960784,0.8,0.7192982456140351,13822.569791078568,0.9838129496402878,2.0
0,CTG_width,60,6,0.01,53,0.8274509803921568,0.7647058823529411,0.8187134502923976,13824.422847270966,0.9816718386346005,2.0
0,CTG_width,60,6,0.1,37,0.6294117647058823,0.5882352941176471,0.5555555555555556,13841.502151966095,0.8060200668896323,2.0
0,CTG_width,60,6,0.1,42,0.7980392156862746,0.7588235294117647,0.7309941520467836,13830.116064310074,0.8971428571428571,2.0
0,CTG_width,60,6,0.1,53,0.615686274509804,0.5470588235294118,0.6198830409356725,13824.160986185074,0.8241042345276873,2.0
0,CTG_width,60,8,0.001,37,0.3980392156862745,0.3352941176470588,0.30409356725146197,13882.902212619781,1.0,2.0
0,CTG_width,60,8,0.001,42,0.5784313725490197,0.5411764705882353,0.5730994152046783,13895.754799604416,1.0,2.0
0,CTG_width,60,8,0.001,53,0.37450980392156863,0.3352941176470588,0.40350877192982454,13914.430792331696,1.0,2.0
0,CTG_width,60,8,0.01,37,0.3980392156862745,0.3352941176470588,0.30409356725146197,13914.591037750244,1.0,2.0
0,CTG_width,60,8,0.01,42,0.596078431372549,0.6294117647058823,0.5555555555555556,13914.045456171036,1.0,2.0
0,CTG_width,60,8,0.01,53,0.37450980392156863,0.3352941176470588,0.40350877192982454,13914.553564310074,1.0,2.0
0,CTG_width,60,8,0.1,37,0.8019607843137255,0.7176470588235294,0.7309941520467836,13886.901365995407,0.8566384180790961,2.0
0,CTG_width,60,8,0.1,42,0.807843137254902,0.788235294117647,0.8304093567251462,13887.802993059158,0.8656716417910448,2.0
0,CTG_width,60,8,0.1,53,0.6901960784313725,0.711764705882353,0.6140350877192983,13887.029695272446,0.986958546809502,2.0
0,CTG_width,80,4,0.001,37,0.8392156862745098,0.788235294117647,0.7309941520467836,13804.79307436943,0.9930957158031394,2.0
0,CTG_width,80,4,0.001,42,0.8568627450980392,0.8176470588235294,0.7953216374269005,13805.0745575428,0.9917504682705208,2.0
0,CTG_width,80,4,0.001,53,0.8333333333333334,0.8058823529411765,0.7543859649122807,13804.793844223022,0.9930875576036866,2.0
