instance,depth,seed,train_acc,val_acc,test_acc,train_time
monks-1,4,53,0.8633093525179856,0.8273381294964028,0.7841726618705036,0.0007789134979248047
monks-1,5,37,0.8669064748201439,0.8057553956834532,0.7553956834532374,0.0004839897155761719
monks-1,5,42,0.7841726618705036,0.6834532374100719,0.7338129496402878,0.0006711483001708984
monks-1,5,53,0.8812949640287769,0.8201438848920863,0.762589928057554,0.0009191036224365234
monks-2,2,37,0.6266666666666667,0.6733333333333333,0.7019867549668874,0.0008769035339355469
monks-2,2,42,0.64,0.68,0.6688741721854304,0.0005679130554199219
monks-2,2,53,0.6466666666666666,0.72,0.6158940397350994,0.0006120204925537109
monks-2,3,37,0.6766666666666666,0.6266666666666667,0.4966887417218543,0.0011260509490966797
monks-2,3,42,0.6566666666666666,0.66,0.6556291390728477,0.001016855239868164
monks-2,3,53,0.6866666666666666,0.66,0.5629139072847682,0.0005650520324707031
monks-2,4,37,0.7166666666666667,0.6266666666666667,0.5827814569536424,0.0005209445953369141
monks-2,4,42,0.7033333333333334,0.64,0.6291390728476821,0.0004799365997314453
monks-2,4,53,0.7133333333333334,0.5866666666666667,0.5960264900662252,0.0004918575286865234
monks-2,5,37,0.8,0.7733333333333333,0.6688741721854304,0.0011029243469238281
monks-2,5,42,0.7966666666666666,0.6666666666666666,0.6556291390728477,0.0005259513854980469
monks-2,5,53,0.82,0.78,0.7152317880794702,0.0006151199340820312
monks-3,2,37,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0005030632019042969
monks-3,2,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.00042319297790527344
monks-3,2,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.00041413307189941406
monks-3,3,37,0.9963898916967509,0.9637681159420289,1.0,0.0005421638488769531
monks-3,3,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0003819465637207031
monks-3,3,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,0.0005619525909423828
monks-3,4,37,0.9963898916967509,0.9637681159420289,1.0,0.00040078163146972656
monks-3,4,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,0.0004410743713378906
monks-3,4,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,0.000408172607421875
monks-3,5,37,0.9963898916967509,0.9637681159420289,1.0,0.00042891502380371094
monks-3,5,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,0.0004088878631591797
monks-3,5,53,0.9963898916967509,0.9710144927536232,0.9712230215827338,0.0004038810729980469
balance-scale,2,37,0.7275641025641025,0.6089743589743589,0.6751592356687898,0.0015499591827392578
balance-scale,2,42,0.6730769230769231,0.6217948717948718,0.5796178343949044,0.0006661415100097656
balance-scale,2,53,0.6923076923076923,0.6217948717948718,0.6305732484076433,0.0005981922149658203
balance-scale,3,37,0.782051282051282,0.6666666666666666,0.7515923566878981,0.0007431507110595703
balance-scale,3,42,0.8044871794871795,0.6794871794871795,0.6942675159235668,0.0006730556488037109
balance-scale,3,53,0.8012820512820513,0.6923076923076923,0.7133757961783439,0.0006279945373535156
balance-scale,4,37,0.8365384615384616,0.7756410256410257,0.7643312101910829,0.0006787776947021484
balance-scale,4,42,0.8301282051282052,0.782051282051282,0.7452229299363057,0.000720977783203125
balance-scale,4,53,0.842948717948718,0.7756410256410257,0.802547770700637,0.0006589889526367188
balance-scale,5,37,0.875,0.7884615384615384,0.7898089171974523,0.0012829303741455078
balance-scale,5,42,0.8685897435897436,0.7564102564102564,0.7388535031847133,0.0009281635284423828
